building_type;building_level;cost_holz;cost_quartz;cost_kristall;cost_wein;cost_schwefel
1;1;0;0;0;0;0
1;2;158;0;0;0;0
1;3;493;0;0;0;0
1;4;1116;0;0;0;0
1;5;2039;285;0;0;0
1;6;3429;836;0;0;0
1;7;5444;1772;0;0;0
1;8;8150;3183;0;0;0
1;9;11811;5274;0;0;0
1;10;16587;8219;0;0;0
1;11;22760;12291;0;0;0
1;12;30834;17955;0;0;0
1;13;41115;25592;0;0;0
1;14;54138;35806;0;0;0
1;15;70562;49381;0;0;0
1;16;91548;67635;0;0;0
1;17;116971;90885;0;0;0
1;18;149256;121907;0;0;0
1;19;189488;162506;0;0;0
1;20;238774;214722;0;0;0
1;21;299981;282791;0;0;0
1;22;374785;370107;0;0;0
1;23;468741;485208;0;0;0
1;24;581776;630534;0;0;0
1;25;723370;821587;0;0;0
1;26;893583;1062626;0;0;0
1;27;1103594;1374754;0;0;0
1;28;1362469;1778579;0;0;0
1;29;1677371;2294172;0;0;0
1;30;2065028;2960401;0;0;0
1;31;2536222;3810432;0;0;0
1;32;3108803;4894725;0;0;0
1;33;3804420;6277552;0;0;0
1;34;4659149;8061273;0;0;0
1;35;5696965;10334960;0;0;0
1;36;6971008;13265290;0;0;0
1;37;8500220;16957881;0;0;0
1;38;10376421;21714320;0;0;0
1;39;12652707;27772963;0;0;0
1;40;15413998;35489329;0;0;0
1;41;18798432;45419214;0;0;0
1;42;22860136;57931269;0;0;0
1;43;27836116;74025307;0;0;0
1;44;33868618;94511130;0;0;0
1;45;41181142;120584412;0;0;0
1;46;50044325;153765690;0;0;0
1;47;60891167;196402419;0;0;0
1;48;73907789;250125125;0;0;0
3;1;60;0;0;0;0
3;2;210;0;0;0;0
3;3;484;0;0;0;0
3;4;913;0;0;0;0
3;5;1550;0;0;0;0
3;6;2444;176;0;0;0
3;7;3651;502;0;0;0
3;8;5296;1042;0;0;0
3;9;7402;1833;0;0;0
3;10;10137;2971;0;0;0
3;11;13674;4569;0;0;0
3;12;18166;6745;0;0;0
3;13;23855;9673;0;0;0
3;14;30958;13532;0;0;0
3;15;39808;18583;0;0;0
3;16;50902;25211;0;0;0
3;17;64633;33777;0;0;0
3;18;81695;44866;0;0;0
3;19;102792;59131;0;0;0
3;20;128757;77372;0;0;0
3;21;160567;100569;0;0;0
3;22;199757;130211;0;0;0
3;23;247755;167847;0;0;0
3;24;306468;215550;0;0;0
3;25;378423;276106;0;0;0
3;26;466050;352473;0;0;0
3;27;573152;449112;0;0;0
3;28;703929;571269;0;0;0
3;29;862949;725023;0;0;0
3;30;1056887;919113;0;0;0
3;31;1292736;1163414;0;0;0
3;32;1579251;1470588;0;0;0
3;33;1927969;1857544;0;0;0
3;34;2351959;2344513;0;0;0
3;35;2865906;2955505;0;0;0
3;36;3491067;3724808;0;0;0
3;37;4249245;4690602;0;0;0
3;38;5168939;5903393;0;0;0
3;39;6284952;7426965;0;0;0
3;40;7638469;9340038;0;0;0
3;41;9280744;11743352;0;0;0
3;42;11270968;14759041;0;0;0
3;43;13682030;18542034;0;0;0
3;44;16605259;23291610;0;0;0
3;45;20146839;29250637;0;0;0
3;46;24438363;36728838;0;0;0
3;47;29637706;46112258;0;0;0
3;48;35933815;57881030;0;0;0
4;1;64;0;0;0;0
4;2;132;0;0;0;0
4;3;247;0;0;0;0
4;4;510;0;0;0;0
4;5;892;0;225;0;0
4;6;1518;0;653;0;0
4;7;2500;0;1397;0;0
4;8;3830;0;2486;0;0
4;9;5834;0;4234;0;0
4;10;8499;0;6688;0;0
4;11;12415;0;10474;0;0
4;12;17571;0;15690;0;0
4;13;25017;0;23552;0;0
4;14;34770;0;34281;0;0
4;15;47521;0;48880;0;0
4;16;65684;0;70507;0;0
4;17;89375;0;99829;0;0
4;18;122826;0;142849;0;0
4;19;166398;0;201062;0;0
4;20;223127;0;279786;0;0
4;21;296960;0;386200;0;0
4;22;400419;0;541057;0;0
4;23;544622;0;765203;0;0
4;24;719680;0;1047775;0;0
4;25;963610;0;1456652;0;0
4;26;1280818;0;2008793;0;0
4;27;1720786;0;2804045;0;0
4;28;2257096;0;3810693;0;0
4;29;3000885;0;5260434;0;0
4;30;4028355;0;7340085;0;0
4;31;5285601;0;9982633;0;0
4;32;7022284;0;13773216;0;0
5;1;105;0;0;0;0
5;2;307;0;0;0;0
5;3;631;0;0;0;0
5;4;1108;0;0;0;0
5;5;1779;0;0;0;0
5;6;2693;778;0;0;0
5;7;3915;1830;0;0;0
5;8;5524;3227;0;0;0
5;9;7620;5059;0;0;0
5;10;10331;7440;0;0;0
5;11;13816;10511;0;0;0
5;12;18276;14453;0;0;0
5;13;23965;19491;0;0;0
5;14;31203;25911;0;0;0
5;15;40393;34072;0;0;0
5;16;52041;44426;0;0;0
5;17;66787;57544;0;0;0
5;18;85437;74145;0;0;0
5;19;109005;95134;0;0;0
5;20;138770;121651;0;0;0
5;21;176343;155135;0;0;0
5;22;223755;197396;0;0;0
5;23;283563;250717;0;0;0
5;24;358991;317973;0;0;0
5;25;454099;402787;0;0;0
5;26;574005;509725;0;0;0
5;27;725156;644539;0;0;0
5;28;915676;814476;0;0;0
5;29;1155800;1028668;0;0;0
5;30;1458426;1298622;0;0;0
5;31;1839804;1638836;0;0;0
5;32;2320409;2067577;0;0;0
6;1;49;0;0;0;0
6;2;163;0;0;0;0
6;3;358;0;0;0;0
6;4;654;0;0;0;0
6;5;1074;0;0;0;0
6;6;1648;0;0;0;0
6;7;2414;0;0;0;0
6;8;3417;0;0;0;0
6;9;4714;178;0;0;0
6;10;6376;609;0;0;0
6;11;8491;1354;0;0;0
6;12;11167;2488;0;0;0
6;13;14538;4104;0;0;0
6;14;18772;6318;0;0;0
6;15;24076;9274;0;0;0
6;16;30706;13149;0;0;0
6;17;38981;18164;0;0;0
6;18;49295;24593;0;0;0
6;19;62138;32776;0;0;0
6;20;78117;43133;0;0;0
6;21;97985;56185;0;0;0
6;22;122675;72580;0;0;0
6;23;153344;93120;0;0;0
6;24;191427;118800;0;0;0
6;25;238704;150854;0;0;0
6;26;297380;190811;0;0;0
6;27;370192;240568;0;0;0
6;28;460533;302477;0;0;0
6;29;572609;379454;0;0;0
6;30;711637;475115;0;0;0
6;31;884085;593945;0;0;0
6;32;1097974;741505;0;0;0
6;33;1363250;924690;0;0;0
6;34;1692246;1152049;0;0;0
6;35;2100254;1434185;0;0;0
6;36;2606238;1784244;0;0;0
6;37;3233711;2218527;0;0;0
6;38;4011831;2757248;0;0;0
6;39;4976754;3425472;0;0;0
6;40;6173312;4254280;0;0;0
6;41;7657097;5282212;0;0;0
6;42;9497044;6557059;0;0;0
6;43;11778632;8138079;0;0;0
6;44;14607855;10098754;0;0;0
6;45;18116145;12530201;0;0;0
6;46;22466478;15545406;0;0;0
6;47;27860944;19284470;0;0;0
6;48;34550135;23921120;0;0;0
6;49;42844786;29670776;0;0;0
6;50;53130207;36800560;0;0;0
6;51;65884182;45641702;0;0;0
6;52;81699165;56604928;0;0;0
6;53;101309797;70199539;0;0;0
6;54;125627034;87057066;0;0;0
7;1;160;0;0;0;0
7;2;448;0;0;0;0
7;3;890;0;0;0;0
7;4;1516;96;0;0;0
7;5;2363;307;0;0;0
7;6;3476;656;0;0;0
7;7;4907;1171;0;0;0
7;8;6720;1885;0;0;0
7;9;8992;2838;0;0;0
7;10;11814;4078;0;0;0
7;11;15297;5662;0;0;0
7;12;19572;7659;0;0;0
7;13;24798;10151;0;0;0
7;14;31166;13237;0;0;0
7;15;38903;17037;0;0;0
7;16;48283;21693;0;0;0
7;17;59636;27376;0;0;0
7;18;73355;34291;0;0;0
7;19;89914;42685;0;0;0
7;20;109881;52854;0;0;0
7;21;133937;65153;0;0;0
7;22;162900;80008;0;0;0
7;23;197752;97930;0;0;0
7;24;239670;119532;0;0;0
7;25;290068;145551;0;0;0
7;26;350642;176870;0;0;0
