building_type,reference_building,level,resource,csv_implied_upgrade_cost,reference_upgrade_cost,reference
3,port,15,wood,8850,8849,upgrade_watcher_2
3,port,28,wood,130777,130776,upgrade_watcher_2
3,port,28,marble,122157,122156,upgrade_watcher_2
3,port,29,wood,159020,159019,upgrade_watcher_2
3,port,30,marble,194090,194089,upgrade_watcher_2
3,port,31,marble,244301,244300,upgrade_watcher_2
3,port,36,wood,625161,625160,upgrade_watcher_2
3,port,36,marble,769303,769302,upgrade_watcher_2
3,port,37,marble,965794,965792,upgrade_watcher_2
3,port,38,wood,919694,919693,upgrade_watcher_2
3,port,38,marble,1212791,1212790,upgrade_watcher_2
3,port,39,marble,1523572,1523570,upgrade_watcher_2
4,academy,32,crystal,3790583,3790483,upgrade_watcher_2
5,shipyard,18,wood,18650,18649,upgrade_watcher_2
8,wall,34,wood,505050,505049,upgrade_watcher_2
8,wall,34,marble,534271,534270,upgrade_watcher_2
8,wall,35,marble,641398,641397,upgrade_watcher_2
8,wall,36,marble,769950,769949,upgrade_watcher_2
8,wall,37,wood,873542,873541,upgrade_watcher_2
8,wall,38,wood,1048474,1048473,upgrade_watcher_2
8,wall,38,marble,1109329,1109328,upgrade_watcher_2
8,wall,40,wood,1510295,1510294,upgrade_watcher_2
8,wall,40,marble,1598033,1598031,upgrade_watcher_2
8,wall,41,wood,1812578,1812577,upgrade_watcher_2
8,wall,42,wood,2175318,2175317,upgrade_watcher_2
8,wall,42,marble,2301768,2301767,upgrade_watcher_2
8,wall,43,wood,2610605,2610603,upgrade_watcher_2
8,wall,43,marble,2762394,2762392,upgrade_watcher_2
8,wall,44,wood,3132950,3132948,upgrade_watcher_2
8,wall,44,marble,3315146,3315144,upgrade_watcher_2
8,wall,45,marble,3978448,3978446,upgrade_watcher_2
8,wall,46,marble,4774411,4774409,upgrade_watcher_2
8,wall,47,marble,5729566,5729565,upgrade_watcher_2
8,wall,48,wood,6497688,6497687,upgrade_watcher_2
8,wall,48,marble,6875751,6875750,upgrade_watcher_2
9,tavern,41,wood,888414,888413,upgrade_watcher_2
9,tavern,41,marble,1538792,1538791,upgrade_watcher_2
9,tavern,42,marble,2000429,2000428,upgrade_watcher_2
9,tavern,44,wood,1535546,1535545,upgrade_watcher_2
9,tavern,46,wood,2211408,2211407,upgrade_watcher_2
9,tavern,46,marble,5713427,5713425,upgrade_watcher_2
9,tavern,47,wood,2653790,2653789,upgrade_watcher_2
13,branchOffice,18,wood,37273,37272,upgrade_watcher_2
13,branchOffice,20,wood,59807,59806,upgrade_watcher_2
13,branchOffice,20,marble,36052,36051,upgrade_watcher_2
13,branchOffice,21,wood,75448,75447,upgrade_watcher_2
13,branchOffice,22,wood,94955,94954,upgrade_watcher_2
13,branchOffice,24,wood,149454,149453,upgrade_watcher_2
13,branchOffice,24,marble,90093,90092,upgrade_watcher_2
13,branchOffice,25,marble,112713,112712,upgrade_watcher_2
13,branchOffice,26,marble,140776,121067,upgrade_watcher_2
13,branchOffice,27,wood,291226,291225,upgrade_watcher_2
13,branchOffice,28,marble,218616,218617,upgrade_watcher_2
13,branchOffice,29,marble,271879,271878,upgrade_watcher_2
13,branchOffice,30,marble,337703,337705,upgrade_watcher_2
13,branchOffice,31,marble,418980,418983,upgrade_watcher_2
13,branchOffice,32,marble,519261,519260,upgrade_watcher_2
15,workshop,8,wood,1972,1971,upgrade_watcher_2
15,workshop,13,wood,4672,4671,upgrade_watcher_2
15,workshop,14,wood,5458,5457,upgrade_watcher_2
15,workshop,17,marble,4501,4500,upgrade_watcher_2
15,workshop,18,marble,5278,5279,upgrade_watcher_2
15,workshop,21,wood,15079,15078,upgrade_watcher_2
15,workshop,22,wood,17322,17321,upgrade_watcher_2
15,workshop,23,wood,19880,19481,upgrade_watcher_2
15,workshop,23,marble,11479,11478,upgrade_watcher_2
15,workshop,32,wood,66779,66778,upgrade_watcher_2
18,forester,17,wood,39575,39574,upgrade_watcher_2
18,forester,17,marble,22387,22386,upgrade_watcher_2
18,forester,20,wood,87365,87363,upgrade_watcher_2
18,forester,20,marble,49590,49589,upgrade_watcher_2
18,forester,22,marble,84042,84041,upgrade_watcher_2
18,forester,23,marble,109357,109356,upgrade_watcher_2
18,forester,25,marble,185047,185046,upgrade_watcher_2
18,forester,26,wood,423035,423034,upgrade_watcher_2
18,forester,26,marble,240664,240663,upgrade_watcher_2
18,forester,27,wood,550050,550049,upgrade_watcher_2
18,forester,28,wood,715170,715169,upgrade_watcher_2
18,forester,29,marble,529145,529144,upgrade_watcher_2
18,forester,30,wood,1208879,1208878,upgrade_watcher_2
18,forester,30,marble,687990,687989,upgrade_watcher_2
18,forester,32,wood,2043247,2043246,upgrade_watcher_2
18,forester,32,marble,1162938,1162937,upgrade_watcher_2
19,glassblowing,19,wood,72051,72050,upgrade_watcher_2
19,glassblowing,20,marble,51831,51830,upgrade_watcher_2
19,glassblowing,21,wood,122022,122021,upgrade_watcher_2
19,glassblowing,23,wood,206472,206471,upgrade_watcher_2
19,glassblowing,23,marble,114290,114289,upgrade_watcher_2
19,glassblowing,24,wood,268525,268524,upgrade_watcher_2
19,glassblowing,24,marble,148681,148680,upgrade_watcher_2
19,glassblowing,25,marble,193390,193389,upgrade_watcher_2
19,glassblowing,28,wood,767621,767620,upgrade_watcher_2
19,glassblowing,28,marble,425295,425294,upgrade_watcher_2
19,glassblowing,29,wood,998019,998018,upgrade_watcher_2
19,glassblowing,29,marble,552987,552986,upgrade_watcher_2
19,glassblowing,31,wood,1686907,1686906,upgrade_watcher_2
19,glassblowing,32,wood,2193090,2193089,upgrade_watcher_2
20,alchemist,19,wood,72051,72050,upgrade_watcher_2
20,alchemist,20,marble,51831,51830,upgrade_watcher_2
20,alchemist,21,wood,122022,122021,upgrade_watcher_2
20,alchemist,23,wood,206472,206471,upgrade_watcher_2
20,alchemist,23,marble,114290,114289,upgrade_watcher_2
20,alchemist,24,wood,268525,268524,upgrade_watcher_2
20,alchemist,24,marble,148681,148680,upgrade_watcher_2
20,alchemist,25,marble,193390,193389,upgrade_watcher_2
20,alchemist,28,wood,767621,767620,upgrade_watcher_2
20,alchemist,28,marble,425295,425294,upgrade_watcher_2
20,alchemist,29,wood,998019,998018,upgrade_watcher_2
20,alchemist,29,marble,552987,552986,upgrade_watcher_2
20,alchemist,31,wood,1686907,1686906,upgrade_watcher_2
20,alchemist,32,wood,2193090,2193089,upgrade_watcher_2
21,winegrower,19,wood,72051,72050,upgrade_watcher_2
21,winegrower,20,marble,51831,51830,upgrade_watcher_2
21,winegrower,21,wood,122022,122021,upgrade_watcher_2
21,winegrower,23,wood,206472,206471,upgrade_watcher_2
21,winegrower,23,marble,114290,114289,upgrade_watcher_2
21,winegrower,24,wood,268525,268524,upgrade_watcher_2
21,winegrower,24,marble,148681,148680,upgrade_watcher_2
21,winegrower,25,marble,193390,193389,upgrade_watcher_2
21,winegrower,28,wood,767621,767620,upgrade_watcher_2
21,winegrower,28,marble,425295,425294,upgrade_watcher_2
21,winegrower,29,wood,998019,998018,upgrade_watcher_2
21,winegrower,29,marble,552987,552986,upgrade_watcher_2
21,winegrower,31,wood,1686907,1686906,upgrade_watcher_2
21,winegrower,32,wood,2193090,2193089,upgrade_watcher_2
22,stonemason,19,wood,72051,72050,upgrade_watcher_2
22,stonemason,20,marble,51831,51830,upgrade_watcher_2
22,stonemason,21,wood,122022,122021,upgrade_watcher_2
22,stonemason,23,wood,206472,206471,upgrade_watcher_2
22,stonemason,23,marble,114290,114289,upgrade_watcher_2
22,stonemason,24,wood,268525,268524,upgrade_watcher_2
22,stonemason,24,marble,148681,148680,upgrade_watcher_2
22,stonemason,25,marble,193390,193389,upgrade_watcher_2
22,stonemason,28,wood,767621,767620,upgrade_watcher_2
22,stonemason,28,marble,425295,425294,upgrade_watcher_2
22,stonemason,29,wood,998019,998018,upgrade_watcher_2
