groupid;id;Anzahl_Vorhanden
;0001f8e1425c08a225d7f951d8754e7cfe9d1a77;1.0
;0004456874ed09583d14e739c32e9b5dff940676;1.0
;00062ad4515abf7b80627e24b093e7a0d96d6c44;1.0
;000746d4945ccba8923dff52d6047789f8d6140f;1.0
;000a39b50b7c8c1cc75f1d027807c2fb77afd297;1.0
;000ac12435368fa9c1e91eb0a2e6ae3580eba193;1.0
;00109211728c40531323938cda160886ad44d5bb;1.0
;0011dc81cd433c9e1f04612949eb7accbb226b03;1.0
;001571aae9a1391caf9fb62986f04d5efa93785d;9.0
;0015fba277d974845bf35aa3d7eb0de639688700;1.0
;0019424bbab9f2b0785afa67347b6eaac4947492;1.0
;001bbcbd7b6cb76e09967bd71b700e540af56ebb;5.0
;001bc3b9632913c565a645ad2da47143a64e6e9c;1.0
;001bf9b52e4cdafc7fe91691358b89fd44de99b9;1.0
;00213880e876b4f23b76c5409c8e8d9cb5438f7e;1.0
;00223d93950212b4c8d4e2cfce4bcae751dbd72a;1.0
;002488d84b30064e444cea8550e9c4528c3e0a24;2.0
;002ab9376360e16cd1f585127184b3e3321f3dfe;1.0
;002c37a0625d65b2f59ea2f842cb870bd0e80680;8.0
;002f3f8e4d74b3234e36020baa59c1046b3c446f;5.0
;0030bdf3cecb692b1ba230a948eef38323b7eb58;14.0
;0030dd42a603ba98287b20dd5afe485ac93b10ff;7.0
;0031ea9817e64b3d7b89a87f07fde4ea2975a9ae;12.0
;00336df0158816f7e79f8fdc26931169c1f0cd54;1.0
;0035487f89c1740db5d91c62796b451dbe3adbec;1.0
;0038e91375a0aa421d161d9f9c9fc14eb8116042;1.0
;003b4cb6db18f899c63bdbe9bee441013c9d150b;1.0
;003b562a6ce69d889266194c5fef928accad65b7;1.0
;003ccaf114d309fea3e9519541e67915217698e5;13.0
;00447162a2ccdd62dc525dfc76d9306ae8df023e;2.0
;004673266a5cd9f8f958c5a33fec5b32e253b04f;1.0
;0047b1d767f1abb10985ef48e3b76ff6a49956dc;1.0
;00486ba2be49c5a07e13ce89c44c2fb85fed945c;1.0
;004c44633e5a88d202a1d3f3cfb7507098165116;4.0
;005145bb312444ed903afc7a2ef6fa1b4b309a40;20.0
;00599b999e78a438800fd55bada21ecab4fa2f23;1.0
;005ef008fa05403800f69c8727b81421a207a0f0;1.0
;0062135aae0b5aabcf5828f4912f25bb474e4058;9.0
;0062e645dc65a69fbac1a48ec84510d7c0ccdde6;4.0
;006322f8dcc7b620c98d5f614de15a78b1521bb5;30.0
;0063610ab8c3a43b16969b789bd1317a97a02434;3.0
;00645fabd2e45e098f6ec96c6a7af2c0a52d709a;1.0
;006ad2392b25152a341b91a066dcbd9d6a7bd459;1.0
